"S. 33 National Security, Defence & Intl Rels","S. 33 National Security, Defence & Intl Rels"
S. 34 Cabinet Docs,S. 34 Cabinet Docs
S. 37 Law Enforcement & Public Safety,S. 37 Law Enforcement & Public Safety
S. 38 Secrecy,S. 38 Secrecy
S. 42 Legal Privilege,S. 42 Legal Privilege
S. 45 Confidential Materials,S. 45 Confidential Materials
S. 45A Parliamentary Budget Office,S. 45A Parliamentary Budget Office
S. 46 Contempt of Parliament or Court,S. 46 Contempt of Parliament or Court
S. 47 Trade Secrets or Commercially Valuable Info,S. 47 Trade Secrets or Commercially Valuable Info
S. 47A Electoral Rolls,S. 47A Electoral Rolls
S. 47B CTH ST Relations,S. 47B CTH ST Relations
S. 47C Deliberative Processes,S. 47C Deliberative Processes
S. 47D CTH Financial & Property Interests ,S. 47D CTH Financial & Property Interests 
S. 47E Certain Operations of Agencies,S. 47E Certain Operations of Agencies
S. 47F Personal Privacy,S. 47F Personal Privacy
S. 47G Business Affairs,S. 47G Business Affairs
S. 47H Research,S. 47H Research
S. 47J Economy,S. 47J Economy
S. 12 Available in public register,S. 12 Available in public register
S. 12 Available via Archives,S. 12 Available via Archives
"S. 13 Held by War Memorial, National Library, Film & Archives","S. 13 Held by War Memorial, National Library, Film & Archives"
